1,1
2,1
3,1
4,1
5,2
6,2
7,1
8,3
9,2
10,1
11,1
12,2
13,1
14,3
15,2
16,1
17,3
18,3
19,1
20,1
21,1
22,1
23,1
24,3
25,1
26,2
27,1
28,1
29,2
30,1
31,3
32,1
33,2
34,1
35,1
36,2
37,1
38,3
39,1
40,2
41,3
42,1
43,1
44,1
45,1
46,3
47,1
48,2
49,1
50,3
51,1
52,1
53,3
54,2
55,1
56,3
57,1
58,1
59,3
60,1
61,1
62,1
63,1
64,2
65,7
66,3
67,1
68,5
69,1
70,2
71,1
72,4
73,2
74,1
75,2
76,1
77,1
78,1
79,1
80,2
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,2
93,1
94,1
95,2
96,1
97,2
98,1
99,1
100,1
101,3
102,1
103,1
104,5
105,4
106,1
107,1
108,5
109,2
110,2
111,1
112,1
113,3
114,1
115,1
116,2
117,1
118,3
119,5
120,2
121,1
122,2
123,1
124,1
125,3
126,1
127,5
128,1
129,3
130,1
131,4
132,3
133,1
134,1
135,4
136,1
137,1
138,2
139,3
140,1
141,2
142,2
143,1
144,5
145,2
146,2
147,1
148,1
149,1
150,1
151,1
152,1
153,3
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,2
168,1
169,1
170,1
171,2
172,1
173,1
174,1
175,1
176,1
177,1
178,2
179,4
180,1
181,1
182,1
183,1
184,1
185,2
186,2
187,1
188,1
189,1
190,1
191,1
192,2
193,1
194,2
195,1
196,2
197,2
198,1
199,4
200,1
201,1
202,1
203,1
204,4
205,2
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,3
214,2
215,1
216,1
217,1
218,2
219,3
220,1
221,3
222,4
223,1
224,2
225,2
226,3
227,1
228,1
229,3
230,1
231,2
232,6
233,1
234,2
235,1
236,1
237,1
238,1
239,3
240,2
241,2
242,1
243,1
244,1
245,6
246,9
247,2
248,1
249,1
250,1
251,1
252,1
253,1
254,3
255,2
256,1
257,2
258,5
259,2
260,1
261,3
262,1
263,4
264,2
265,3
266,1
267,3
268,1
269,2
270,3
271,1
272,1
273,1
274,1
275,2
276,1
277,1
278,1
279,3
280,2
281,1
282,1
283,3
284,2
285,3
286,2
287,1
288,1
289,2
290,1
291,1
292,1
293,5
294,1
295,1
296,2
297,1
298,4
299,3
300,1
301,1
302,4
303,1
304,3
305,1
306,1
307,3
308,1
309,1
310,1
311,3
312,3
313,3
314,1
315,3
316,1
317,2
318,2
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,2
330,3
331,2
332,5
333,1
334,1
335,1
336,1
337,1
338,2
339,1
340,2
341,1
342,3
343,2
344,3
345,1
346,1
